condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,3999,3999,0,11972.373,0.994,0.013,0.105,-0.002,57,101,82,43,53,21,72,22,0,0.000,0,0,0.057,0.004,0.040,0.000,0.040,-0.004,-0.037,1.001,-0.004,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4015,4015,0,11977.375,0.994,0.013,0.105,-0.002,83,77,69,59,57,31,35,30,0,0.000,0,0,0.045,0.004,0.040,0.000,-0.020,-0.003,-0.038,1.000,-0.004,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4015,4015,0,11982.373,0.994,0.013,0.105,-0.002,79,77,61,66,55,21,52,9,0,0.000,0,0,0.028,0.003,-0.020,0.000,-0.020,-0.003,-0.037,1.000,0.002,-0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4047,4047,0,11987.373,0.994,0.013,0.105,-0.002,50,89,83,41,53,3,72,21,0,0.000,0,0,0.075,0.006,0.040,-0.060,-0.020,-0.002,-0.037,1.000,0.006,-0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4047,4047,0,11992.373,0.994,0.013,0.105,-0.002,79,93,62,45,61,35,69,24,0,0.000,0,0,0.057,0.006,0.040,0.000,0.040,-0.003,-0.037,1.000,0.006,-0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4047,4047,0,11997.373,0.994,0.013,0.105,-0.002,51,57,89,43,39,9,75,39,0,0.000,0,0,0.045,0.006,-0.020,0.000,0.040,-0.003,-0.036,1.000,0.006,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4047,4047,0,12002.375,0.994,0.013,0.105,-0.002,29,103,82,42,59,27,67,21,0,0.000,0,0,0.075,0.003,0.040,-0.060,-0.020,-0.004,-0.037,1.001,0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4047,4047,0,12007.373,0.994,0.013,0.105,-0.002,59,97,84,43,57,23,79,37,0,0.000,0,0,0.082,0.004,-0.080,0.000,-0.020,-0.004,-0.037,1.000,-0.004,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4047,4047,0,12012.373,0.994,0.013,0.105,-0.002,53,73,88,44,40,7,74,40,0,0.000,0,0,0.057,0.004,0.040,0.000,0.040,-0.003,-0.036,1.000,-0.004,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4063,4063,0,12017.373,0.994,0.013,0.105,-0.002,57,91,85,41,57,25,73,22,0,0.000,0,0,0.066,0.003,-0.020,0.060,-0.020,-0.003,-0.036,1.000,0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4063,4063,0,12022.373,0.994,0.013,0.105,-0.002,73,72,71,71,21,10,53,51,0,0.000,0,0,0.045,0.003,-0.020,0.000,0.040,-0.003,-0.037,1.001,0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4063,4063,0,12027.373,0.994,0.013,0.105,-0.002,83,93,52,69,61,11,53,43,0,0.000,0,0,0.028,0.006,-0.020,0.000,-0.020,-0.002,-0.037,1.001,0.002,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4063,4063,0,12032.373,0.994,0.013,0.105,-0.002,55,71,88,69,39,11,56,49,0,0.000,0,0,0.075,0.006,-0.020,0.060,0.040,-0.003,-0.037,1.001,0.002,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4063,4063,0,12037.374,0.994,0.013,0.105,-0.002,67,69,67,92,35,7,45,46,0,0.000,0,0,0.082,0.003,0.040,0.060,0.040,-0.003,-0.036,1.001,0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4063,4063,0,12042.373,0.994,0.013,0.105,-0.002,83,82,63,57,39,9,29,28,0,0.000,0,0,0.045,0.004,-0.020,0.000,0.040,-0.004,-0.036,1.001,0.002,0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4079,4079,0,12047.373,0.994,0.013,0.105,-0.002,73,93,57,45,53,19,45,19,0,0.000,0,0,0.028,0.006,-0.020,0.000,-0.020,-0.004,-0.037,1.000,-0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4079,4079,0,12052.373,0.994,0.013,0.105,-0.002,83,96,69,55,43,7,45,47,0,0.000,0,0,0.045,0.004,-0.020,0.000,0.040,-0.003,-0.037,1.001,-0.004,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4095,4095,0,12057.373,0.994,0.013,0.105,-0.002,93,99,59,45,55,22,63,21,0,0.000,0,0,0.028,0.003,-0.020,0.000,-0.020,-0.003,-0.037,1.000,0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,4095,4095,0,12062.373,0.994,0.013,0.105,-0.002,57,89,85,41,55,21,75,21,0,0.000,0,0,0.057,0.003,0.040,0.000,0.040,-0.004,-0.037,1.000,0.002,-0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
