condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,3599,3599,1,2929112.087,0.417,0.270,-0.129,-0.858,3163,61,176,3016,4095,1323,29,1227,58,0.000,1903,1,2.112,0.121,-1.740,0.940,0.740,-0.570,-0.015,0.829,0.050,0.110,0.046,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1173,1214
stim,3631,3631,1,2929117.087,0.417,0.270,-0.128,-0.858,3163,61,181,3017,4095,1325,24,1223,58,0.000,1903,1,2.440,0.110,-1.500,1.920,0.140,-0.570,-0.016,0.823,0.050,0.098,0.040,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1178,1214
stim,3631,3631,1,2929122.088,0.417,0.270,-0.128,-0.858,3167,61,175,3021,4095,1328,30,1227,58,0.000,1903,1,2.666,0.093,-1.680,1.560,1.360,-0.576,-0.019,0.822,0.050,0.078,0.024,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1183,1214
stim,3631,3631,1,2929127.087,0.417,0.270,-0.128,-0.859,3171,69,183,3016,4095,1325,33,1225,58,0.000,1903,1,2.916,0.089,-1.620,1.920,1.480,-0.572,-0.013,0.830,0.050,0.074,0.024,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1188,1214
stim,3631,3631,1,2929132.087,0.417,0.270,-0.128,-0.859,3163,68,181,3019,4095,1331,28,1224,58,0.000,1903,1,2.046,0.054,-0.880,1.740,0.620,-0.577,-0.002,0.823,0.004,0.054,0.028,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1193,1214
stim,3631,3631,1,2929137.087,0.417,0.270,-0.128,-0.859,3163,63,188,3015,4095,1328,29,1225,58,0.000,1903,1,2.331,0.016,-0.880,1.380,1.660,-0.583,-0.022,0.819,0.004,0.016,0.040,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1198,1214
stim,3631,3631,1,2929142.087,0.417,0.270,-0.128,-0.859,3175,69,186,3017,4095,1333,33,1225,58,0.000,1903,1,2.175,0.043,-1.000,0.880,1.720,-0.575,-0.002,0.822,-0.028,-0.032,0.028,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1203,1214
stim,3648,3648,1,2929147.087,0.417,0.270,-0.128,-0.859,3161,68,187,3017,4095,1335,31,1225,58,0.000,1903,1,1.292,0.053,-0.520,1.120,0.380,-0.567,0.014,0.824,-0.042,-0.032,0.012,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1208,1214
stim,3648,3648,1,2929152.087,0.417,0.270,-0.128,-0.859,3179,71,189,3029,4095,1331,33,1231,58,0.000,1903,1,1.041,0.076,-0.280,0.880,-0.480,-0.572,0.000,0.817,-0.056,-0.052,-0.020,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1213,1214
stim,3663,3663,1,2929157.087,0.417,0.270,-0.128,-0.859,3167,64,189,3023,4095,1337,26,1227,58,0.000,1903,1,0.740,0.076,-0.400,0.460,-0.420,-0.578,-0.009,0.815,-0.056,-0.052,-0.022,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,4,1214
