condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,25583,25583,0,56165.829,0.977,-0.119,-0.174,0.012,3183,0,0,1323,0,57,30,212,0,0.000,0,0,0.154,0.006,-0.020,0.060,-0.140,-0.281,0.040,0.961,-0.004,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,959,0
pre_stim,25583,25583,0,56170.827,0.977,-0.119,-0.174,0.012,3188,0,0,1325,0,73,30,212,0,0.000,0,0,0.113,0.003,-0.080,0.000,-0.080,-0.280,0.039,0.961,-0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,964,0
pre_stim,25603,25603,0,56175.829,0.977,-0.119,-0.174,0.012,3199,0,0,1320,0,68,35,217,0,0.000,0,0,0.102,0.002,-0.080,0.060,-0.020,-0.281,0.038,0.962,0.000,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,969,0
pre_stim,25603,25603,0,56180.827,0.977,-0.119,-0.174,0.012,3192,0,0,1330,0,73,35,213,0,0.000,0,0,0.141,0.004,-0.140,0.000,-0.020,-0.281,0.039,0.961,0.004,-0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,974,0
pre_stim,25603,25603,0,56185.829,0.977,-0.119,-0.174,0.012,3181,0,0,1318,0,61,29,211,0,0.000,0,0,0.141,0.002,-0.140,0.000,-0.020,-0.281,0.039,0.961,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,979,0
pre_stim,25615,25615,0,56190.827,0.977,-0.119,-0.174,0.012,3211,0,0,1324,0,60,39,219,0,0.000,0,0,0.082,0.004,-0.080,0.000,-0.020,-0.281,0.040,0.962,0.004,-0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,984,0
pre_stim,25615,25615,0,56195.829,0.977,-0.119,-0.174,0.012,3183,0,0,1323,0,57,29,217,0,0.000,0,0,0.113,0.003,-0.080,0.000,-0.080,-0.281,0.038,0.962,0.002,-0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,989,0
pre_stim,25615,25615,0,56200.827,0.977,-0.119,-0.174,0.012,3191,0,0,1326,0,60,35,215,0,0.000,0,0,0.161,0.003,-0.140,0.000,-0.080,-0.281,0.039,0.961,0.002,-0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,994,0
pre_stim,25636,25636,1,56205.829,0.977,-0.119,-0.174,0.012,3205,0,0,1323,0,67,31,218,0,0.000,0,0,0.113,0.003,-0.080,0.000,-0.080,-0.281,0.039,0.961,0.002,-0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,999,0
pre_stim,25636,25636,1,56210.827,0.977,-0.119,-0.174,0.012,3192,0,0,1323,0,69,31,212,0,0.000,0,0,0.082,0.003,-0.080,0.000,-0.020,-0.281,0.038,0.961,0.002,-0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,1,3,7,255,1070,150,1004,0
