condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,2991,13663,0,6841642.087,0.477,0.283,0.276,0.785,0,0,358,0,295,0,595,4095,5,0.890,2897,0,462.199,12.508,22.660,-461.640,-1.820,-0.175,0.292,2.279,7.132,10.276,2.386,0.602,0.602,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3009,13681,0,6841647.087,0.472,0.298,0.287,0.779,0,0,311,0,403,0,319,2360,5,0.890,2897,0,457.680,17.217,46.460,-455.280,-5.720,-0.409,0.087,2.254,7.132,15.670,2.386,0.640,0.642,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3009,13681,0,6841652.087,0.466,0.312,0.298,0.772,0,0,279,0,571,0,470,3957,5,0.890,2897,0,452.422,18.474,46.700,-449.960,-6.380,-0.619,0.060,1.928,6.566,17.268,1.914,0.676,0.680,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3009,13681,0,6841657.087,0.460,0.326,0.308,0.766,0,0,243,0,727,0,377,3983,5,0.890,2897,0,443.583,18.474,14.240,-443.260,-9.140,-0.742,0.229,1.647,6.566,17.268,-2.466,0.708,0.710,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3009,13681,0,6841662.087,0.454,0.341,0.316,0.760,0,0,185,0,809,0,189,2895,5,0.890,2897,0,431.425,17.335,-11.400,-431.240,-5.480,-0.884,0.356,1.461,8.116,15.318,-5.484,0.742,0.744,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3024,13696,0,6841667.087,0.447,0.356,0.323,0.755,0,0,149,0,896,0,48,3318,5,0.890,2897,0,420.690,16.483,-53.520,-417.200,-7.740,-1.050,0.229,1.213,8.494,14.126,-8.072,0.780,0.784,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3024,13696,0,6841672.087,0.440,0.371,0.327,0.750,0,0,104,0,1029,0,3,3655,5,0.890,2897,0,414.397,16.483,-101.920,-401.560,-9.320,-1.231,0.061,1.176,8.494,14.126,-11.528,0.826,0.828,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3040,13711,0,6841677.087,0.432,0.385,0.331,0.745,0,0,79,0,1144,0,0,3744,5,0.890,2897,0,390.797,16.183,-113.580,-373.920,-2.420,-1.177,-0.227,1.281,7.656,14.258,-14.012,0.870,0.874,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3040,13711,0,6841682.087,0.426,0.398,0.334,0.741,0,0,96,0,1895,0,0,3709,5,0.890,2897,0,359.095,16.707,-98.620,-345.240,-5.720,-0.894,-0.688,1.403,5.354,15.826,-14.012,0.906,0.908,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841687.087,0.418,0.408,0.340,0.737,0,0,126,0,3167,0,0,3540,5,0.890,2897,0,336.372,16.816,-28.560,-330.700,-54.480,-0.738,-1.083,1.192,0.902,16.792,-12.842,0.930,0.934,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841692.087,0.414,0.414,0.349,0.732,0,0,137,0,3765,0,0,3508,5,0.890,2897,0,294.563,17.168,87.660,-272.600,-69.080,-0.339,-0.789,-0.515,-3.572,16.792,-12.842,0.954,0.956,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841697.087,0.414,0.417,0.356,0.727,0,0,128,0,3764,0,0,3531,5,0.890,2897,0,195.687,7.540,119.700,-154.800,1.540,0.395,-0.509,-2.303,-7.540,-0.016,-16.186,0.980,0.982,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841702.087,0.414,0.416,0.358,0.726,0,0,139,0,3752,0,0,3627,5,0.890,2897,0,70.798,22.563,65.500,-15.400,-22.020,0.899,-0.756,-2.909,-12.796,-18.584,-16.186,1.016,1.018,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841707.087,0.408,0.412,0.359,0.732,0,0,135,0,3771,0,0,3589,5,0.890,2897,0,217.367,24.342,-55.340,67.120,-199.200,0.494,-0.859,-2.154,-15.722,-18.584,-15.588,1.056,1.058,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841712.087,0.397,0.406,0.357,0.742,0,0,123,0,3747,0,0,3561,5,0.890,2897,0,365.357,22.536,-168.760,127.660,-297.840,-0.809,0.618,-0.399,-15.722,-16.146,-15.588,1.104,1.106,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841717.087,0.391,0.400,0.353,0.750,0,0,123,0,3764,0,0,3579,5,0.890,2897,0,300.226,7.682,-131.220,174.540,-206.040,-1.604,1.641,0.625,6.826,-3.524,-17.226,1.156,1.158,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841722.087,0.390,0.393,0.348,0.757,0,0,123,0,3747,0,0,3599,5,0.890,2897,0,241.715,12.606,-78.120,213.060,-83.240,-1.229,0.724,0.490,12.286,2.824,-17.226,1.216,1.218,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841727.087,0.389,0.385,0.342,0.764,0,0,127,0,3759,0,0,3607,5,0.890,2897,0,269.120,13.134,-103.760,232.220,-87.940,-0.657,-0.414,0.170,12.286,4.642,-16.528,1.278,1.280,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3071,13743,0,6841732.087,0.384,0.377,0.336,0.773,0,0,135,0,3748,0,0,3690,5,0.890,2897,0,325.724,5.680,-139.580,245.160,-162.820,-0.809,-0.320,0.344,1.704,5.418,-15.570,1.334,1.336,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3087,13759,0,6841737.088,0.380,0.368,0.331,0.781,0,0,137,0,3745,0,0,3727,5,0.890,2897,0,335.837,6.600,-122.240,259.320,-174.920,-1.294,0.224,0.378,1.704,6.376,-15.570,1.374,1.374,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3087,13759,0,6841742.087,0.378,0.358,0.324,0.790,0,0,135,0,3743,0,0,3759,5,0.890,2897,0,322.527,10.166,-112.180,273.540,-128.900,-1.355,0.194,0.104,7.918,6.376,-17.902,1.390,1.388,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3104,13776,0,6841747.087,0.376,0.349,0.317,0.798,0,0,145,0,3739,0,0,3752,5,0.890,2897,0,332.163,9.308,-136.400,284.900,-102.760,-1.124,0.000,0.089,7.918,4.894,-18.104,1.390,1.384,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3104,13776,0,6841752.087,0.375,0.340,0.308,0.806,0,0,133,0,3791,0,0,3737,5,0.890,2897,0,345.041,7.970,-144.400,294.900,-106.000,-1.012,0.046,0.366,6.290,4.894,-18.104,1.382,1.376,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3104,13776,0,6841757.087,0.373,0.330,0.300,0.813,0,0,126,0,3737,0,0,3731,5,0.890,2897,0,345.976,8.981,-127.300,304.540,-103.680,-1.059,0.147,0.451,6.290,6.410,-15.364,1.378,1.372,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3104,13776,0,6841762.087,0.372,0.320,0.292,0.821,0,0,139,0,3739,0,0,3758,5,0.890,2897,0,347.588,10.253,-124.800,312.060,-88.660,-1.068,0.156,0.446,7.712,6.756,-14.714,1.378,1.372,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3120,13791,0,6841767.087,0.372,0.309,0.284,0.828,0,0,135,0,3719,0,0,3771,5,0.890,2897,0,348.509,10.436,-120.360,318.820,-72.980,-1.012,0.194,0.573,7.932,6.782,-14.498,1.380,1.374,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3120,13791,0,6841772.087,0.372,0.298,0.276,0.835,0,0,124,0,3739,0,0,3785,5,0.890,2897,0,345.783,10.930,-101.800,324.440,-62.780,-0.983,0.273,0.606,8.418,6.972,-12.902,1.382,1.376,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3136,13808,0,6841777.087,0.373,0.287,0.268,0.841,0,0,121,0,3726,0,0,3789,5,0.890,2897,0,344.205,11.411,-90.080,328.280,-50.940,-0.985,0.316,0.526,9.034,6.972,-12.116,1.390,1.382,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3136,13808,0,6841782.087,0.375,0.276,0.259,0.846,0,0,118,0,3715,0,0,3801,5,0.890,2897,0,343.793,10.986,-88.240,330.540,-33.920,-0.946,0.320,0.518,9.034,6.252,-11.984,1.400,1.392,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,3170,13842,0,6841787.087,0.377,0.265,0.251,0.851,0,0,108,0,3727,0,0,3803,5,0.890,2897,0,343.597,10.860,-84.520,332.560,-17.860,-0.841,0.288,0.549,9.026,6.040,-11.618,1.414,1.406,1.046,1.032,3,2,0,3,7,255,971,250,0,0
